tship_code,township,district,district_code,rain_annual_mean_mm,rain_annual_last5_mean_mm,rain_wet_season_share,rain_extreme_months,rain_annual_trend_mm_yr,rain_annual_trend_pct_yr,rain_p95_monthly_mm,rain_total_months,elev_mean_m,elev_min_m,elev_max_m,slope_mean_pct,pop_est,schools,health_facilities,rfh_mean,r1h_mean,r3h_mean,rfh_p95,n_obs,child_share,elderly_share,area_km2,pop_density
T21,Ahlone,West,MMR013D004,2085.999892640114,2275.0960360050203,0.7747541600973279,13,31.524292198518168,1.511231726796492,565.2855102539063,245,10.68354606628418,-2.75417709350586,28.51671600341797,5.153360966124878,64540.81647325632,11,12,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,3.298930814439682,19564.1618765559
T22,Shwepyithar,North,MMR013D001,2206.588905189931,2440.090818196535,0.8008439750966614,13,29.748566090253917,1.3481698389892574,600.0745742797851,245,6.599477767944336,1.8301204442977903,36.93889617919922,2.6362169372846,415198.8925069525,72,76,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,0.1527107660610566,0.0567952570800153,56.04090266791698,7408.85447487003
T23,Sanchaung,West,MMR013D004,2136.532950142026,2319.865355396271,0.780393539433382,13,29.86185020427951,1.3976779624341595,573.9406341552734,245,20.66402816772461,6.1573262214660645,34.25590133666992,6.500356598301823,95969.32011399162,43,41,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,2.433847543108323,39431.114075217294
T24,Kawhmu,South,MMR013D003,2437.635513123635,2621.5379719351467,0.7985949066317959,13,31.74186521046688,1.3021579739701206,709.0261596679687,245,7.555881500244141,-2.691813707351685,55.57390975952149,2.2122186578363627,123418.35288241568,8,6,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,0.1709380184538001,0.0637037020039422,615.5146112332496,200.5124665280224
T25,North Okkalapa,East,MMR013D002,2276.7907002900324,2490.412380947386,0.7891365963358085,13,29.1471321340918,1.2801849608037683,602.4980695452008,245,5.424383163452148,0.4825067818164825,15.20119285583496,2.4298654534129502,335619.5953387248,107,127,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,27.86033917605978,12046.500698280108
T26,Cocokyun,South,MMR013D003,2999.627206311226,3510.392994127274,0.683859986607557,13,50.74159174605415,1.6915965970469151,811.6109753417968,245,19.00391387939453,-1.5614467859268188,106.03202056884766,11.390268642902296,159.86457908128455,0,0,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,0.1709380184538001,0.0637037020039422,33.31375251821431,4.798756279223679
T27,Yankin,East,MMR013D002,2277.000129109621,2431.801314997673,0.781582003804817,13,26.02048766263446,1.1427530165669904,608.8499450683593,245,13.326987266540527,4.494170188903809,32.32482147216797,4.2914669522885625,78109.45645734137,15,12,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,4.7737103493902575,16362.420578642405
T28,Thanlyin,South,MMR013D003,2618.500155084372,2841.069683263779,0.7961420596385508,13,35.3554433407425,1.3502173475946688,734.8723745117186,245,4.836902618408203,0.0,51.58793258666992,1.3326194261405553,325255.7423929998,37,15,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,0.1709380184538001,0.0637037020039422,359.47156446478374,904.8163319323248
T29,Mingaladon,North,MMR013D001,2270.360680615405,2510.072925502061,0.801517013092115,13,29.785007379922902,1.3119064135593368,612.7482498168945,245,16.76430320739746,1.184437274932861,58.861961364746094,3.9913759484754494,380834.59542833234,27,26,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,0.1527107660610566,0.0567952570800153,128.33907191310803,2967.4096107394043
T30,Dagon Myothit (South),East,MMR013D002,2389.236236175299,2588.2422294521334,0.788271951134705,13,29.46079056892177,1.23306310706566,651.1121264648436,245,5.281793594360352,1.0,15.54823398590088,2.15072090033458,379636.86110290297,33,29,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,37.39535744340413,10151.978402064027
