kec_code,kecamatan,kota,rain_annual_mean_mm,rain_annual_last5_mean_mm,rain_wet_season_share,rain_extreme_months,rain_annual_trend_mm_yr,rain_annual_trend_pct_yr,rain_p95_monthly_mm,rain_total_months,elev_mean_m,elev_min_m,elev_max_m,slope_mean_pct,pop_est,schools,health_facilities,rfh_mean,r1h_mean,r3h_mean,rfh_p95,n_obs,child_share,elderly_share,area_km2,pop_density
31.74.05,Kebayoran Lama,Jakarta Selatan,2075.311111111111,2215.7,0.539348798275014,28,4.892951251646923,0.23576952994904277,400.69999999999993,547,25.935956954956055,-4.695738315582275,59.61149597167969,4.883171289480613,297484.426646002,139,15,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,19.059210852170242,15608.43357856697
31.74.02,Setiabudi,Jakarta Selatan,1932.1333333333334,2035.8,0.5814368126109186,28,4.798155467720708,0.2483345939404134,410.7999999999997,547,15.34472942352295,-0.5261330008506775,35.918338775634766,5.935086609546075,130326.55202791082,58,19,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,8.923368530272393,14605.08456932827
31.74.03,Mampang Prapatan,Jakarta Selatan,2078.6555555555556,2198.2,0.5491125583936379,28,5.11192358366275,0.2459245145257605,408.7999999999997,547,23.279953002929688,7.588890075683594,40.61832809448242,4.731486752156311,131421.39100559498,61,6,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,7.945922360206041,16539.475852893578
31.74.08,Pancoran,Jakarta Selatan,2068.4555555555557,2153.3,0.5479996360518112,28,4.247990777338627,0.20537017418281828,405.3499999999998,547,26.16942024230957,14.310246467590332,42.37974166870117,4.667058525295306,141509.6359627994,56,13,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,8.87071398118061,15952.451658684384
31.74.09,Jagakarsa,Jakarta Selatan,2508.8,2692.4571428571426,0.4787808141844565,28,6.176115189158705,0.24617806079235907,420.3714285714285,547,56.63795852661133,21.474666595458984,82.37487030029297,5.578324431857919,369622.1018411916,152,15,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,25.06934997412744,14743.984276523173
31.74.06,Cilandak,Jakarta Selatan,2389.2166666666667,2572.7,0.49197767930611036,28,5.957938076416354,0.24936784342495882,411.84999999999997,547,39.430973052978516,20.68720245361328,59.484458923339844,5.172242075635264,272903.61728373426,109,20,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,17.749147245091482,15375.59036021889
31.74.07,Kebayoran Baru,Jakarta Selatan,2076.983333333333,2206.95,0.544234604143748,28,5.002437417654832,0.2408511102314173,406.1249999999998,547,23.856456756591797,3.729550361633301,45.66732406616211,5.520737191262414,201010.0308084778,100,30,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,12.692900389498497,15836.414423828926
31.74.10,Pesanggrahan,Jakarta Selatan,2103.788888888889,2220.5,0.5284201371843779,28,3.9030632411067283,0.18552542328370802,393.94999999999993,547,25.292078018188477,9.865652084350586,46.22939682006836,4.481651305144081,205145.57868323912,87,19,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,13.493888396091021,15202.851295455113
31.71.01,Gambir,Jakarta Pusat,1659.588888888889,1732.9,0.614153312053106,28,3.675494071146265,0.2214701541902371,398.99999999999966,547,7.304681777954102,-9.083436012268066,24.77347183227539,6.224851312600049,128621.86308344218,71,11,49.65060240963855,149.50903614457832,453.23493975903614,136.25,166,0.20829715462459947,0.07311739904082055,7.508914896869307,17129.221045915503
31.71.02,Sawah Besar,Jakarta Pusat,1781.8333333333333,1801.1,0.6457996779360209,28,2.6413043478261087,0.1482352079969755,461.04999999999956,547,6.924149990081787,-9.483545303344727,23.924728393554688,5.895125424686529,98978.80020722914,73,5,49.65060240963855,149.50903614457832,453.23493975903614,136.25,166,0.20829715462459947,0.07311739904082055,5.358573149355866,18471.11114254865
31.71.05,Cempaka Putih,Jakarta Pusat,1778.2666666666667,1824.2,0.6067853182259125,29,3.440711462450605,0.19348681088985184,417.0,547,9.429476737976074,-1.5913819074630737,22.743305206298828,3.7624703589233914,86954.56177099343,42,6,49.65060240963855,149.50903614457832,453.23493975903614,136.25,166,0.20829715462459947,0.07311739904082055,4.666390975354209,18634.221227978658
31.71.06,Menteng,Jakarta Pusat,1800.6277777777777,1858.6,0.6007148702033305,28,3.603985507246389,0.20015161110611118,413.1249999999999,547,11.155526161193848,-5.595177173614502,34.12282180786133,5.483769467647285,118329.00166099702,53,12,49.65060240963855,149.50903614457832,453.23493975903614,136.25,166,0.20829715462459947,0.07311739904082055,6.4738745647773825,18277.926221307007
31.71.03,Kemayoran,Jakarta Pusat,1690.3,1721.0,0.6264455736217587,28,2.977075098814251,0.17612702471834887,420.89999999999986,547,6.4752912521362305,-2.750173330307007,29.812328338623047,3.8800293937412462,132911.64117820782,123,29,49.65060240963855,149.50903614457832,453.23493975903614,136.25,166,0.20829715462459947,0.07311739904082055,7.168174074469709,18541.91036621002
31.71.04,Senen,Jakarta Pusat,1756.7925925925927,1799.5333333333333,0.6077780492500301,29,3.2059288537549633,0.18248761221287954,411.6666666666667,547,10.180419921875,1.2958177328109741,29.545909881591797,4.775911793785182,83077.74161249105,73,12,49.65060240963855,149.50903614457832,453.23493975903614,136.25,166,0.20829715462459947,0.07311739904082055,4.3507012491613555,19095.25312235704
31.71.07,Tanah Abang,Jakarta Pusat,1817.0444444444447,1902.8666666666668,0.6001069584887945,29,4.164295125164705,0.22917959645384045,414.3333333333333,547,12.93482780456543,-6.202990531921387,50.48588562011719,6.510313870117776,153560.4245522089,70,28,49.65060240963855,149.50903614457832,453.23493975903614,136.25,166,0.20829715462459947,0.07311739904082055,10.04789458234401,15282.84590306537
31.71.08,Johar Baru,Jakarta Pusat,1690.3,1721.0,0.6264455736217587,28,2.977075098814251,0.17612702471834887,420.89999999999986,547,9.143634796142578,3.3159282207489014,18.603775024414062,2.8994293417750465,48056.17369142015,53,1,49.65060240963855,149.50903614457832,453.23493975903614,136.25,166,0.20829715462459947,0.07311739904082055,2.368212871830663,20292.16809985161
31.72.02,Tanjung Priok,Jakarta Utara,1847.7722222222221,1893.45,0.6225175838523815,28,3.2631093544137046,0.17659694821525826,446.94999999999993,547,4.973286151885986,-2.508761405944824,24.3005428314209,4.124621513699725,338222.8747472979,180,56,55.21536144578313,166.3975903614458,509.43825301204816,151.4375,166,0.22706858065764257,0.04771550346939637,22.50063395092369,15031.70423931159
31.72.03,Koja,Jakarta Utara,1818.9944444444445,1879.95,0.6180291896927308,28,3.4473649538867095,0.18952036738845568,419.29999999999956,547,4.411570072174072,-4.5733866691589355,19.998029708862305,3.0036767164767726,184106.60516932208,139,14,55.21536144578313,166.3975903614458,509.43825301204816,151.4375,166,0.22706858065764257,0.04771550346939637,11.662214667544557,15786.590319048308
31.72.01,Penjaringan,Jakarta Utara,1856.9666666666667,1924.3666666666663,0.6097939201639435,28,3.4426877470355945,0.18539308264565482,434.40999999999923,547,3.2535948753356934,-6.974327087402344,26.428438186645508,4.169609022009198,398194.94698914397,124,69,55.21536144578313,166.3975903614458,509.43825301204816,151.4375,166,0.22706858065764257,0.04771550346939637,40.27812845273731,9886.133300766176
31.72.06,Kelapa Gading,Jakarta Utara,1853.7833333333333,1914.6,0.6039402209260578,28,3.638735177865627,0.19628697229264266,426.0999999999998,547,7.247425079345703,-3.657067060470581,44.356502532958984,5.030594365520645,252554.71959217422,81,13,55.21536144578313,166.3975903614458,509.43825301204816,151.4375,166,0.22706858065764257,0.04771550346939637,15.910504858419207,15873.457306323771
31.72.04,Cilincing,Jakarta Utara,1835.4031746031749,1885.2571428571428,0.6059938481237491,28,3.157933370976857,0.17205665843198845,403.0571428571428,547,3.2383337020874023,-8.243746757507324,31.526763916015625,2.676888026795544,418223.86384247016,148,18,55.21536144578313,166.3975903614458,509.43825301204816,151.4375,166,0.22706858065764257,0.04771550346939637,43.57500783244092,9597.79205205579
31.72.05,Pademangan,Jakarta Utara,1799.4944444444445,1832.25,0.6277043060312624,28,2.989459815546791,0.16612776020376785,446.9999999999995,547,4.420152187347412,-17.04190444946289,32.00614929199219,5.352727369591518,153944.06170747307,56,30,55.21536144578313,166.3975903614458,509.43825301204816,151.4375,166,0.22706858065764257,0.04771550346939637,13.240475155838977,11626.77773233724
31.75.01,Matraman,Jakarta Timur,1866.725925925926,1938.8666666666668,0.5870976927833137,29,3.967501097935907,0.21253795443848902,409.6666666666667,547,13.747190475463867,5.943263530731201,25.934255599975586,3.3852230794684512,91779.41724601675,84,22,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,4.858828147025839,18889.208358232692
31.75.02,Pulogadung,Jakarta Timur,1875.2666666666667,1937.7,0.5855538248006675,28,3.6581027667984363,0.1950710707880712,406.2999999999999,547,10.723774909973145,-1.5913819074630737,26.039827346801758,3.5425055663149574,259268.214273573,141,55,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,14.909124359714776,17389.902184606435
31.75.05,Pasar Rebo,Jakarta Timur,2417.502222222222,2555.6400000000003,0.4913822051637099,28,5.112595520421636,0.21148255722065168,419.88,547,49.46718978881836,20.586185455322266,74.26667785644531,6.076482886007718,220177.61080948514,91,14,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,12.47531848057198,17649.057308827134
31.75.06,Cakung,Jakarta Timur,1912.8944444444444,1964.25,0.5789687548064166,28,3.1674571805006835,0.16558452504788354,404.5749999999998,547,7.976762771606445,-2.6323163509368896,27.011980056762695,3.6133184736457946,622072.0541247177,188,5,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,41.27781411210201,15070.372971671868
31.75.03,Jatinegara,Jakarta Timur,1889.7777777777778,1956.6,0.5743438922235398,28,3.6636363636363827,0.19386598819806822,404.1999999999996,547,18.337764739990234,6.289305686950684,33.5577278137207,3.9795432387320497,188216.23917488332,129,24,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,10.348393220124679,18187.967462316403
31.75.04,Kramatjati,Jakarta Timur,2207.1222222222223,2295.2,0.5219667305973259,28,4.270915678524391,0.19350607934273145,406.97499999999957,547,30.828596115112305,14.062325477600098,50.84292221069336,4.4932141290377166,234162.53921614538,116,10,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,13.074568776602076,17909.771497412356
31.75.09,Ciracas,Jakarta Timur,2446.0740740740744,2558.5333333333333,0.4868156546653203,28,4.4223539745279234,0.18079395147515886,418.46666666666664,547,53.673336029052734,27.807592391967773,92.0322036743164,4.882196274360647,297178.9674206046,101,26,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,16.849765636937892,17636.979280538584
31.75.07,Duren Sawit,Jakarta Timur,1971.75,2017.0,0.5613931174566537,28,2.893642951251645,0.14675506282498516,400.3749999999992,547,17.04543113708496,3.4351909160614014,31.418031692504883,3.8525186102189823,402364.6424328752,222,9,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,22.079434101991644,18223.50340023345
31.75.08,Makasar,Jakarta Timur,2141.471111111111,2201.92,0.5329181816549569,28,3.4902239789196545,0.16298253853673222,401.08,547,26.304685592651367,11.215389251708984,53.86458206176758,4.984589054233775,255310.34034857637,108,5,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,21.525639651891908,11860.755103095713
31.75.10,Cipayung,Jakarta Timur,2453.5074074074078,2559.4666666666662,0.48744352569217814,28,4.163131313131358,0.16968081288698816,418.51666666666654,547,48.55691909790039,22.96976661682129,91.35792541503906,5.547271270491174,406420.84827480256,118,2,59.95903614457832,180.77228990361445,555.7228965421687,135.2,166,0.23545345423666508,0.05033314816545178,27.72715716375784,14657.862177303741
